Sno,Profile,Company,Location,Start Date,Duration,Stipend,Apply By,About Internship,Skills Required,Who Can Apply,About Company
114,SEO/SEM,Brandzzy SoftTech Private Limited,Bhubaneswar,Immediately,2 Months,"? 2,000 /month",9 Oct' 24,"Selected intern's day-to-day responsibilities include:
1. Develop and execute digital marketing campaigns across various channels (social media, email, SEO, PPC).
2. Analyze and report on campaign performance and key metrics.
3. Manage and optimize content for our website and social media platforms.
4. Collaborate with the creative team to produce engaging content.
5. Stay up-to-date with the latest digital marketing trends and technologies.","['Digital Marketing', 'Facebook Ads', 'Search Engine Optimization (SEO)']","Only those candidates can apply who:
1. are available for the part time job/internship
2. can start the part time job/internship between 9th Sep'24 and 14th Oct'24
3. are available for duration of 2 months
4. have relevant skills and interests","Brandzzy SoftTech is a software company. We are creators and innovators, with an unwavering focus on developing superior software products. LaraPush is our flagship product, offering a robust push notification technology designed to drive user engagement and conversions for website owners. With LaraPush, staying connected with your audience has never been easier or more effective."
115,Marketing,INFANT FYLING EAGAL  TECHNOLOGY PRIVATE LIMITED,Haryana,Immediately,5 Weeks,"? 20,000 /month",9 Oct' 24,Selected intern's day-to-day responsibilities include helping the company sell its products and being responsible for online and offline promotion.,"['.NET', 'Digital Marketing', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'Hindi Proficiency (Spoken)']","Only those candidates can apply who:
1. are available for full time (in-office) internship
2. can start the internship between 9th Sep'24 and 14th Oct'24
3. are available for duration of 5 weeks
4. have relevant skills and interests","INFANT FLYING EAGLE TECHNOLOGY PRIVATE LIMITED is engaged in designing, developing, buying, selling, importing, exporting, publishing, supporting, providing, commercializing, and controlling various business activities. The company operates both in India and globally, offering services in areas such as sports, online sports, gaming properties, online entertainment applications, entertainment websites, web series, channels, social IT development, computer technology development, digital marketing, digital advertising, digital promotions, software development, and mobile application development. INFANT FLYING EAGLE TECHNOLOGY PRIVATE LIMITED also specializes in skill-based games, focusing on games where skill plays a predominant role over chance."
116,Administration,Maa Sarala Agro Foods,Bhubaneswar,Immediately,6 Months,"? 8,000 /month",14 Oct' 24,"As an Administration intern at Maa Sarala Agro  Foods, you can showcase your English proficiency and excel in MS-PowerPoint, MS-Office, and MS-Excel. Your role will be dynamic and exciting, offering hands-on experience in various aspects of office administration.
Selected intern's day-to-day responsibilities include:
1. Assist in preparing presentations and reports using MS-PowerPoint and MS-Excel.
2. Support the administration team with day-to-day tasks and projects.
3. Manage and organize office files, documents, and records.
4. Communicate effectively with internal and external stakeholders.
5. Coordinate meetings and appointments, and maintain calendars.
6. Assist in managing office supplies and inventory.
7. Provide general administrative support as needed.
This internship will provide you with valuable skills and experience in a fast-paced and collaborative work environment. Join us at maa sarala agro foods and contribute to our success!","['English Proficiency (Spoken)', 'MS-Excel', 'MS-Office', 'MS-PowerPoint']","Only those candidates can apply who:
1. are available for full time (in-office) internship
2. can start the internship between 14th Sep'24 and 19th Oct'24
3. are available for duration of 6 months
4. have relevant skills and interests","Maa Sarala Agro Foods is a versatile company operating across multiple sectors, including FMCG, art, and paints. It combines diverse interests and expertise to create a dynamic and intriguing business environment."
117,Telecalling,Highway Delite,Guwahati,Immediately,6 Months,"? 12,000 /month",12 Oct' 24,"Selected intern's day-to-day responsibilities include:
1. Make outbound calls to potential and existing customers.
2. Answer inbound calls and handle customer queries.
3. Maintain and update the customer database.
4. Communicate effectively in English, Hindi, Assamese, Bengali, Nagamese, and Khasi.
5. Meet daily/weekly/monthly targets set by the company.","['Assamese Proficiency (Spoken)', 'Bengali Proficiency (Spoken)', 'Effective Communication', 'English Proficiency (Spoken)', 'Hindi Proficiency (Spoken)', 'Lead Generation']","Only those candidates can apply who:
1. are available for full time (in-office) internship
2. can start the internship between 12th Sep'24 and 17th Oct'24
3. are available for duration of 6 months
4. have relevant skills and interests","Highway Delite is the first and only free travel app tailored for Indian highway travelers, aiming to make highway travel and road trips both enjoyable and safe. We are supported by the Government of Karnataka as a tourism startup and incubated at NSRCEL, IIM Bangalore. Our app equips highway travelers with essential information for their journeys, covering verified routes spanning over 10,000 kilometers, with ongoing expansions."
118,Marketing Assistant (Digital),Brandzzy SoftTech Private Limited,Bhubaneswar,Immediately,2 Months,"? 2,000 /month",9 Oct' 24,"Selected intern's day-to-day responsibilities include:
1. Assist in planning and executing marketing campaigns
2. Support content creation for social media, blogs, and newsletters
3. Conduct market research and competitor analysis
4. Monitor and report on campaign performance
5. Collaborate with team members on various marketing projects","['Facebook Ads', 'Google AdWords', 'Search Engine Optimization (SEO)']","Only those candidates can apply who:
1. are available for full time (in-office) internship
2. can start the internship between 9th Sep'24 and 14th Oct'24
3. are available for duration of 2 months
4.  are from or open to relocate to Bhubaneswar
5. have relevant skills and interests
* Women wanting to start/restart their career can also apply.","Brandzzy SoftTech is a software company. We are creators and innovators, with an unwavering focus on developing superior software products. LaraPush is our flagship product, offering a robust push notification technology designed to drive user engagement and conversions for website owners. With LaraPush, staying connected with your audience has never been easier or more effective."
119,Supervisor,Highway Delite,Vapi,Immediately,2 Months,"? 20,000 /month",11 Oct' 24,"Selected intern's day-to-day responsibilities include:
1. Manage and monitor daily operations and workflows.
2. Track and handle incoming leads effectively.
3. Maintain and update data in Excel and Google Sheets.
4. Prepare reports and communicate updates via email.
5. Ensure smooth coordination between teams and processes.
6. Assist in problem-solving and decision-making as required.","['Effective Communication', 'MS-Excel']","Only those candidates can apply who:
1. are available for full time (in-office) internship
2. can start the internship between 10th Sep'24 and 15th Oct'24
3. are available for duration of 2 months
4. have relevant skills and interests","Highway Delite is the first and only free travel app tailored for Indian highway travelers, aiming to make highway travel and road trips both enjoyable and safe. We are supported by the Government of Karnataka as a tourism startup and incubated at NSRCEL, IIM Bangalore. Our app equips highway travelers with essential information for their journeys, covering verified routes spanning over 10,000 kilometers, with ongoing expansions."
120,Business Development (Sales),Bhatak Bhaiya Tours And Travels,Indore,Immediately,3 Months,"? 5,000-8,000 /month",11 Oct' 24,"We are a tours and travel agency, so we require candidates who are interested in this field.
Selected intern's day-to-day responsibilities include:
1. Sales: Engage with clients, promote travel packages, and close deals.
2. Marketing: Implement marketing strategies, manage social media, and create content.
3. Business Development: Identify new opportunities, build partnerships, and expand market presence.","['Content Marketing', 'Digital Marketing', 'Effective Communication', 'Email Marketing', 'Sales pitch', 'Social Media Marketing']","Only those candidates can apply who:
1. are available for full time (in-office) internship
2. can start the internship between 11th Sep'24 and 16th Oct'24
3. are available for duration of 3 months
4. have relevant skills and interests
* Women wanting to start/restart their career can also apply.","Bhatak Bhaiya is a tour and travel company. We are 5 years old in industry. We offer international and domestic holiday packages, flight bookings, and other travel-related services."
121,Marketing Assistant (Digital),Brandzzy SoftTech Private Limited,Bhubaneswar,Immediately,2 Months,"? 2,000 /month",9 Oct' 24,"Selected intern's day-to-day responsibilities include:
1. Assist in planning and executing marketing campaigns
2. Support content creation for social media, blogs, and newsletters
3. Conduct market research and competitor analysis
4. Monitor and report on campaign performance
5. Collaborate with team members on various marketing projects","['Facebook Ads', 'Google AdWords', 'Search Engine Optimization (SEO)']","Only those candidates can apply who:
1. are available for full time (in-office) internship
2. can start the internship between 9th Sep'24 and 14th Oct'24
3. are available for duration of 2 months
4.  are from or open to relocate to Bhubaneswar
5. have relevant skills and interests
* Women wanting to start/restart their career can also apply.","Brandzzy SoftTech is a software company. We are creators and innovators, with an unwavering focus on developing superior software products. LaraPush is our flagship product, offering a robust push notification technology designed to drive user engagement and conversions for website owners. With LaraPush, staying connected with your audience has never been easier or more effective."
122,Operations,Boltly Electric,Indore,Immediately,3 Months,"? 3,000 /month",9 Oct' 24,"Selected intern's day-to-day responsibilities include:
1. Oversee and manage the daily operations of the company, ensuring efficiency and productivity.
2. Develop and implement operational strategies to support business objectives and drive growth.
3. Lead a team of operations professionals, providing guidance and mentorship to ensure high performance.
4. Monitor and analyze operational metrics, making data-driven decisions to improve processes.
5. Collaborate with cross-functional teams to align operations with company goals and customer needs.","['Certificate', 'Letter of recommendation']","Only those candidates can apply who:
1. are available for full time (in-office) internship
2. can start the internship between 8th Sep'24 and 13th Oct'24
3. are available for duration of 3 months
4. have relevant skills and interests",We are a tech-enabled platform building an EV ecosystem for gig economy workers and urban commuters for last-mile delivery and mobility.
123,Supervisor,Highway Delite,Vapi,Immediately,2 Months,"? 20,000 /month",11 Oct' 24,"Selected intern's day-to-day responsibilities include:
1. Manage and monitor daily operations and workflows.
2. Track and handle incoming leads effectively.
3. Maintain and update data in Excel and Google Sheets.
4. Prepare reports and communicate updates via email.
5. Ensure smooth coordination between teams and processes.
6. Assist in problem-solving and decision-making as required.","['Effective Communication', 'MS-Excel']","Only those candidates can apply who:
1. are available for full time (in-office) internship
2. can start the internship between 10th Sep'24 and 15th Oct'24
3. are available for duration of 2 months
4. have relevant skills and interests","Highway Delite is the first and only free travel app tailored for Indian highway travelers, aiming to make highway travel and road trips both enjoyable and safe. We are supported by the Government of Karnataka as a tourism startup and incubated at NSRCEL, IIM Bangalore. Our app equips highway travelers with essential information for their journeys, covering verified routes spanning over 10,000 kilometers, with ongoing expansions."
124,Business Development (Sales),Bhatak Bhaiya Tours And Travels,Indore,Immediately,3 Months,"? 5,000-8,000 /month",11 Oct' 24,"We are a tours and travel agency, so we require candidates who are interested in this field.
Selected intern's day-to-day responsibilities include:
1. Sales: Engage with clients, promote travel packages, and close deals.
2. Marketing: Implement marketing strategies, manage social media, and create content.
3. Business Development: Identify new opportunities, build partnerships, and expand market presence.","['Content Marketing', 'Digital Marketing', 'Effective Communication', 'Email Marketing', 'Sales pitch', 'Social Media Marketing']","Only those candidates can apply who:
1. are available for full time (in-office) internship
2. can start the internship between 11th Sep'24 and 16th Oct'24
3. are available for duration of 3 months
4. have relevant skills and interests
* Women wanting to start/restart their career can also apply.","Bhatak Bhaiya is a tour and travel company. We are 5 years old in industry. We offer international and domestic holiday packages, flight bookings, and other travel-related services."
125,Online Marketing,Brandzzy SoftTech Private Limited,Bhubaneswar,Immediately,2 Months,"? 2,000 /month",9 Oct' 24,"Selected intern's day-to-day responsibilities include:
1. Assist in the execution of online marketing campaigns (SEO, PPC, email, social media)
2. Help create and optimize content for digital platforms
3. Monitor and analyze website traffic and campaign performance
4. Conduct keyword research and competitor analysis","['Google AdWords', 'Search Engine Optimization (SEO)']","Only those candidates can apply who:
1. are available for the part time job/internship
2. can start the part time job/internship between 9th Sep'24 and 14th Oct'24
3. are available for duration of 2 months
4.  are from or open to relocate to Bhubaneswar
5. have relevant skills and interests
* Women wanting to start/restart their career can also apply.","Brandzzy SoftTech is a software company. We are creators and innovators, with an unwavering focus on developing superior software products. LaraPush is our flagship product, offering a robust push notification technology designed to drive user engagement and conversions for website owners. With LaraPush, staying connected with your audience has never been easier or more effective."
126,Social Media Marketing,GPC BIOCARE PRIVATE LIMITED,Safidon,Immediately,6 Months,"? 7,000 /month",14 Oct' 24,"Selected intern's day-to-day responsibilities include:
1. Creation of pages on social media: Set up and manage new social media pages to enhance online presence.
2. SEO for pages: Optimize social media pages for search engines to improve visibility and reach.
3. Lead Generation: Identify and attract potential leads through social media strategies and campaigns.","['Creative Writing', 'Digital Marketing', 'Email Marketing', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'Facebook Marketing', 'Instagram Marketing', 'Social Media Marketing']","Only those candidates can apply who:
1. are available for full time (in-office) internship
2. can start the internship between 14th Sep'24 and 19th Oct'24
3. are available for duration of 6 months
4. have relevant skills and interests","Our journey began in 1991 as agrochemical traders, but our passion for excellence led us to step into manufacturing in 2016. Since then, we have grown into a well-known company with a diverse range of agrochemical products. Our commitment to quality and innovation has earned us appreciation from clients, making us a trusted name in the industry. What do we do? Brand Marketing: We manufacture and market government-approved pesticides to over 4500 distributors across India and operate in 20 states, including Nepal. White Label Marketing (B2B): We have a substantial production capacity, making us open to B2B opportunities and partnerships. Institutional Sales: We cater to the government and other companies supplying fertilizers in the open market, along with the pest control industry."
127,Administration,Maa Sarala Agro Foods,Bhubaneswar,Immediately,6 Months,"? 8,000 /month",14 Oct' 24,"As an Administration intern at Maa Sarala Agro  Foods, you can showcase your English proficiency and excel in MS-PowerPoint, MS-Office, and MS-Excel. Your role will be dynamic and exciting, offering hands-on experience in various aspects of office administration.
Selected intern's day-to-day responsibilities include:
1. Assist in preparing presentations and reports using MS-PowerPoint and MS-Excel.
2. Support the administration team with day-to-day tasks and projects.
3. Manage and organize office files, documents, and records.
4. Communicate effectively with internal and external stakeholders.
5. Coordinate meetings and appointments, and maintain calendars.
6. Assist in managing office supplies and inventory.
7. Provide general administrative support as needed.
This internship will provide you with valuable skills and experience in a fast-paced and collaborative work environment. Join us at maa sarala agro foods and contribute to our success!","['English Proficiency (Spoken)', 'MS-Excel', 'MS-Office', 'MS-PowerPoint']","Only those candidates can apply who:
1. are available for full time (in-office) internship
2. can start the internship between 14th Sep'24 and 19th Oct'24
3. are available for duration of 6 months
4. have relevant skills and interests","Maa Sarala Agro Foods is a versatile company operating across multiple sectors, including FMCG, art, and paints. It combines diverse interests and expertise to create a dynamic and intriguing business environment."
128,Customer Service/Customer Support,Poddar Diamond Limited,Mumbai,Immediately,3 Months,"? 10,000-12,000 /month",10 Oct' 24,"Selected intern's day-to-day responsibilities include:
Provide responsive and professional support to customers via phone, email, and chat.
Assist with inquiries regarding orders, products, shipping, and returns.
Resolve customer issues efficiently while maintaining a high level of satisfaction.
Collaborate with internal teams to address and resolve customer concerns.
Accurately document customer interactions and follow up as needed.
Identify opportunities to improve customer experience and share feedback with the team.","['English Proficiency (Spoken)', 'English Proficiency (Written)']","Only those candidates can apply who:
1. are available for full time (in-office) internship
2. can start the internship between 10th Sep'24 and 15th Oct'24
3. are available for duration of 3 months
4. have relevant skills and interests
* Women wanting to start/restart their career can also apply.","Poddar Diamond Ltd is dedicated to superiority in diamond manufacturing by following the best practices of the trade and meeting the global standards in diamond trade and providing absolute customer satisfaction.Poddar Diamond Ltd was established in 25 years ago. Over the years. Over the years, Poddar Diamond Ltd has grown into a reputed diamond trading house with a global presence with offices worldwide.At Poddar Diamond Ltd , we are dedicated to providing products of unshakeable consistency and extravagant brilliance to our customers at outstandingly competitive prices. We have made a tradition of commitment to eminence, taking the initiative in providing only the best products and perfecting an attitude of unparalleled service."
129,Social Media Marketing,Cnflnc Media,"Pune, Pimpri-Chinchwad",Immediately,3 Months,"? 12,500 /month",9 Oct' 24,"Responsibilities
As a Social Media Marketing Intern, you will:
1. Assist in developing, scheduling, and publishing engaging content across social media platforms (Instagram, Facebook, LinkedIn, Twitter, etc.).
2. Monitor social media channels for trends, mentions, and opportunities to interact with the audience.
3. Collaborate with the marketing team to brainstorm new and creative growth strategies.
4. Help analyze social media insights and generate weekly performance reports.
5. Research and identify key influencers for potential partnerships and collaborations.
6. Engage with followers by responding to comments, messages, and engaging in conversations.
7. Support the execution of social media campaigns and promotions.
Stay up-to-date with the latest social media best practices, trends, and tools.
Qualifications
Currently pursuing a degree in Marketing, Communications, Digital Media, or a related field.
Strong passion for social media and digital marketing.
Excellent verbal and written communication skills.
Familiarity with major social media platforms (Instagram, Facebook, Twitter, LinkedIn, TikTok, etc.).
Creativity and a strong eye for design (basic knowledge of design tools like Canva or Photoshop is a plus).
Detail-oriented with strong organizational skills.
Ability to multitask and manage time effectively.
Enthusiasm for learning and staying updated on the latest trends in digital marketing.
Perks
Hands-on experience in managing social media accounts for a brand.
Exposure to real-world market","['Canva', 'Digital Marketing', 'Email Marketing', 'Search Engine Optimization (SEO)']","Only those candidates can apply who:
1. are available for full time (in-office) internship
2. can start the internship between 9th Sep'24 and 14th Oct'24
3. are available for duration of 3 months
4.  are from or open to relocate to Pune, Pimpri-Chinchwad and neighboring cities
5. have relevant skills and interests","Cnflnc Media is an Indian-based video production studio and branding agency that blends creativity and expertise to elevate businesses. We specialize in crafting campaigns that resonate with the product's style and values, tailored to target audiences. Utilizing platforms like Instagram, LinkedIn, and Twitter, we ensure effective social media outreach. Cnflnc Media is dedicated to delivering brands the visibility and audience they deserve."
130,Field Sales,National Enterprises,Pune,Immediately,3 Months,"? 14,000 /month",14 Oct' 24,"Selected intern's day-to-day responsibilities include:
1. Visiting various factories to present our industrial items.
2. Following up with customers regularly to ensure engagement.
3. Frequently visiting industrial areas to maintain customer relations and explore new opportunities.",['English Proficiency (Spoken)'],"Only those candidates can apply who:
1. are available for full time (in-office) internship
2. can start the internship between 14th Sep'24 and 19th Oct'24
3. are available for duration of 3 months
4. have relevant skills and interests","NE Stands for National Enterprises is a well-known shop of fasteners. We deal in all industrial fasteners like nuts and bolts.National Enterprises is committed to simplifying complex work interactions while delivering a seamless experience. It provides services in managing, designing, developing, creating, and maintaining various projects as well as Manufacturing clients across industries. National Enterprises is a company defining and delivering transformative experiences for the global and most innovative technologies in the manufacturing world."
131,Business Development (Sales),Skills Beyond Education,Bangalore,Immediately,4 Months,"? 20,000-25,000 /month",27 Sep' 24,"Selected intern's day-to-day responsibilities include:
1. Understanding the products and services offered by the company
2. Calling existing customers, prospects and new leads using sales scripts
3. Updating call records and databases
4. Making sales calls including over WhatsApp
5. Assisting in developing a sales strategy and scripts
6. Nurturing a strong relationship with the old, existing, and new customers
7. Achieving weekly and monthly targets
8. Maintaining sales reports
9. Learning and upgrading sales techniques through ongoing training
10. Adhering to all the company's culture, rules and regulations
Notes:
1. Sales training will be provided.
2. Prior experience is good but not essential.
3. Tuesday to Saturday are working days for the sales team.
3. Get sales incentives for achieving targets.
4. Post-internship, full-time employment can be offered at the company's discretion.
Special Highlights: The selected intern will be mentored by the CEO/founder.","['English Proficiency (Spoken)', 'MS-Excel', 'Sales', 'Sales pitch']","Only those candidates can apply who:
1. are available for full time (in-office) internship
2. can start the internship between 13th Sep'24 and 18th Oct'24
3. are available for duration of 4 months
4.  are from or open to relocate to Bangalore
5. have relevant skills and interests
* Women wanting to start/restart their career can also apply.","Skills Beyond Education"" is an initiative that started in 2016 where ambition meets success   a learning and development company based in Bangalore. We offer online and offline courses, coaching, training, and mentoring on leading a champion's life, achieving business success, and elite performance for students, professionals, and corporates by unlocking peak potential in individuals and teams. Our team of experts guides you towards achieving your goals and reaching your full potential.Captain Preetham Madhukar, a TEDx speaker, Amazon best-selling author, an award-winning mentor, and #1 WILL Strength coach, founded this company after serving as a ship captain and sailor for over two decades. We have impacted over 1200 lives by helping them overcome procrastination and enhance their performance. As our company grows, we seek passionate individuals who thrive in their skills and experience. Join us, add value, embrace continuous learning, and help shape the future of our dynamic firm."
132,Content Writing,Web Converts Private Limited,Bangalore,Immediately,3 Months,"? 8,000-10,000 /month",26 Sep' 24,"Selected intern's day-to-day responsibilities include:
1. Creating website content: create website copy, including homepage content, product descriptions, and blog posts
2. Research: conduct extensive research to gather information and ideas for their content
3. Writing: use their writing skills to create high-quality, engaging content that is free from grammatical errors and optimized for search engine
4. Collaboration: work with other members of a content team, such as editors, designers, and marketers to create and promote content","['Content Writing', 'Creative Writing', 'English Proficiency (Spoken)', 'English Proficiency (Written)']","Only those candidates can apply who:
1. are available for full time (in-office) internship
2. can start the internship between 9th Sep'24 and 14th Oct'24
3. are available for duration of 3 months
4.  are from or open to relocate to Bangalore
5. have relevant skills and interests
* Women wanting to start/restart their career can also apply.","We're a full-service digital marketing company in Bangalore that helps businesses grow through robust digital marketing strategies. Transparent & ROI-focused, we offer digital marketing services including web design & development, search engine optimization, search engine marketing, social media marketing, email marketing, and more."
133,Script Writing,Confluencr,Bangalore,Immediately,4 Months,"? 15,000 /month",9 Oct' 24,"As a Script Writing Intern, you will have the unique opportunity to contribute to the
creation of compelling and engaging content across various platforms. Under the
guidance of our experienced team, you will be an integral part of crafting narratives
that captivate audiences and align with our brand identity.
Roles and Responsibilities:
1. Creating storyboards for each scene in the script, including character descriptions,
camera angles, and other visual elements
2. Interviewing key personnel involved in the production, such as the director, producer,
actors, or subject matter experts
3. Writing, rewriting, and editing scripts to meet the needs of the production company
or client
4. Developing characters and plots, including creating an outline for each scene
5. Writing dialogue for each character based on their personality traits, motivations,
and relationships with other characters
6. Reviewing and revising existing scripts as needed to ensure they are consistent with
current standards or requirements
7. Creating and maintaining documentation of all drafts, changes, and revisions to
scripts throughout the writing process
8. Communicating with production staff regarding script changes during production
9. Reviewing and approving all aspects of the script for compliance with industry
standards.
Requirements:
1. Prior experience in script writing roles will be preferred.
2. Understanding of creative writing and social media platforms.
3. Excellent written and verbal communication skills.
4. Ability to work collaboratively in a fast-paced environment.","['Content Writing', 'Creative Writing', 'Digital Advertising', 'Digital Marketing', 'Report Writing']","Only those candidates can apply who:
1. are available for full time (in-office) internship
2. can start the internship between 9th Sep'24 and 14th Oct'24
3. are available for duration of 4 months
4. have relevant skills and interests","We are a leading influencer marketing agency with an influencer network in 16 countries, including India. We scale businesses using YouTube and Instagram video campaigns that influence brand preference and conversions. Confluencr is a leading digital marketing and ads agency, specializing in innovative strategies and cutting-edge campaigns. We are seeking a blog writing intern to contribute to our content team and help drive impactful narratives in the digital landscape."
134,Digital Marketing,Eduminatti,Dehradun,Immediately,2 Months,"? 2,000 /month",14 Oct' 24,"Selected intern's day-to-day responsibilities include:
1. Support the digital marketing team
2. Assist with social media campaigns
3. Assist with email campaigns
4. Assist with search engine optimization (SEO)
5. Work to produce the website and social media content
6. Work to complete other administrative tasks, as needed
7. Create and distribute content such as blogs, infographics, videos, and press releases on social media and traditional news outlets","['Creative Writing', 'Digital Marketing', 'Email Marketing', 'English Proficiency (Spoken)', 'English Proficiency (Written)']","Only those candidates can apply who:
1. are available for full time (in-office) internship
2. can start the internship between 14th Sep'24 and 19th Oct'24
3. are available for duration of 2 months
4.  are from or open to relocate to Dehradun
5. have relevant skills and interests
* Women wanting to start/restart their career can also apply.","Eduminatti, a Dehradun-based startup, started with a vision to provide the most reliable and beneficial educational information to the masses, effortlessly. We aim to make dreams come true with perfect education and knowledge ultimately making the world a better place to thrive in. We also believe that education should not be bounded by age, and every individual has the right to attain knowledge. Our platform is an open source for all students, parents, educators, institutions, and any individual who wishes to seek knowledge regardless of their age."
135,Search Engine Optimization (SEO),Fabzen Technologies Private Limited,Bangalore,Immediately,6 Months,"? 10,000 /month",13 Oct' 24,"Selected intern's day-to-day responsibilities include:
1. Taking responsibility for the tracking of page performance of all the sites and articulate it to build a wider business
2. Writing compelling and original content based on the set of keywords received from our SEO analyst
3. Writing high-quality copy for our website, blogs, ad posts, and any form of online presence
4. Optimizing content by including the most relevant keywords and internal linking in our web pages to improve our website's search engine ranking
5. Conducting keyword research and SEO analysis by themselves as well
6. Analyzing their content's influence using significant KPIs","['Blogging', 'Digital Marketing', 'English Proficiency (Written)', 'Google AdWords', 'Google Analytics', 'Research and Analytics', 'Search Engine Optimization (SEO)']","Only those candidates can apply who:
1. are available for full time (in-office) internship
2. can start the internship between 13th Sep'24 and 18th Oct'24
3. are available for duration of 6 months
4. have relevant skills and interests","We are a well-established, 6-year-old organization. We are well-known in the gaming industry. We do game development, and we provide cloud services."
136,Hospitality,Perfect10weddings,Lucknow,Immediately,6 Months,"? 10,000 /month",13 Oct' 24,"Selected intern's day-to-day responsibilities include:
1. Guest servicing:
i. Handle guest check-ins and check-outs efficiently.
ii. Assist guests with inquiries, requests, and complaints, ensuring their needs are met promptly.
iii. Provide information and assistance to guests regarding event details, schedules, and facilities.
iv. Greet and welcome event attendees in a friendly and professional manner.
v. Address guest inquiries and resolve any issues promptly.
2. Reservations and booking:
i. Manage room reservations and ensure accurate booking details.
ii. Coordinate with the reservations team to optimize room occupancy.
iii. Process cancellations and modifications according to company policies.
3. Logistic servicing:
i. Manage planning and execution of logistics for all council events and meetings, including workshop portfolio, and leadership development portfolios.","['English Proficiency (Spoken)', 'Event Management']","Only those candidates can apply who:
1. are available for the part time job/internship
2. can start the part time job/internship between 13th Sep'24 and 18th Oct'24
3. are available for duration of 6 months
4.  are from or open to relocate to Lucknow
5. have relevant skills and interests",Our vision at Perfect10weddings is to simply bring a smile across the faces of anybody who witnesses our creation. We aim to create memorable events and marketing campaigns that will establish your brand and distinguish your business from your competition. It is our inherent quality to build your trust on us so that we can consistently take you beyond your fathomable limits through every event we conceive.
137,Event Management,Big Bulls,Bangalore,Immediately,6 Months,"? 5,000 /month",13 Oct' 24,"As an Event Management intern at Big Bulls, you will have the opportunity to work on exciting projects and gain valuable hands-on experience in the event planning industry. You will work closely with our team to organize and execute various events, from corporate meetings to large-scale conferences. Your creativity and attention to detail will be crucial in ensuring the success of each event. This internship will provide you with the skills and knowledge needed to excel in the fast-paced world of event management.
1. Assist in the planning and execution of company events, including coordinating logistics and managing vendors.
2. Help with event coordination, such as creating timelines, managing guest lists, and overseeing on-site operations.
3. Collaborate with marketing team to promote events and increase attendance through various channels.
4. Conduct research on industry trends and best practices to enhance event planning strategies.
5. Provide support in budget management and financial tracking for each event.
6. Assist in post-event evaluations and analysis to measure success and identify areas for improvement.
7. Take on additional tasks and projects as needed to support the event management team.
Join Big Bulls as an Event Management intern and kickstart your career in the exciting world of event planning!","['Certificate', 'Letter of recommendation', '5 days a week']","Only those candidates can apply who:
1. are available for full time (in-office) internship
2. can start the internship between 13th Sep'24 and 18th Oct'24
3. are available for duration of 6 months
4. have relevant skills and interests","At Big Bulls, our aim is simple: to educate you on profitable money investment. Whether you've considered becoming a trader, what to trade, which trading software to use, or how to understand the market, look no further. Our trading program offers a comprehensive range of financial training courses focused on price action trading. Whether you're interested in trading futures markets, commodities, or day trading currency markets, we can teach you how to trade consistently and profitably.At Training Traders, we believe we provide the best training, coaching, and mentorship available anywhere. Your training course marks just the beginning of your journey with us. We prioritize offering robust mentorship and coaching follow-up because the education process never truly ends, regardless of whether you're a novice or an experienced trader. In the ever-changing market landscape, traders learn something new every day."
138,Copywriter,BusinessOnBot,Bangalore,Immediately,3 Months,"? 15,000 /month",10 Oct' 24,"Selected intern's day-to-day responsibilities include:
1. Curate original and engaging scripts for advertisements.
2. Collaborate with our creative team to develop unique brand voices and messages.
3. Help refine and polish copy to ensure it's not just readable, but irresistibly shareable.
4. Participate in lively team meetings where no idea is too wild, and every pun is welcome.
5. Brainstorm and pitch out-of-the-box ideas for ad campaigns that defy the ordinary and embrace the weird.","['Certificate', 'Letter of recommendation', 'Informal dress code', 'Free snacks & beverages']","Only those candidates can apply who:
1. are available for full time (in-office) internship
2. can start the internship between 9th Sep'24 and 14th Oct'24
3. are available for duration of 3 months
4. have relevant skills and interests","We are a Y Combinator-backed company called BusinessOnBot. We strive to help 30 million D2C businesses in India acquire WhatsApp users and sell to them in their local language (Hindi, Tamil, Hinglish, etc.). Our founding team members are graduates from IIT Madras and are ex-JP Morgan/ex-Microsoft employees."
